2020-03-02 08:26:20,843 | CRITICAL | 0036 | THE DAEMON RUN INITIAED
2020-03-02 08:26:20,889 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:26:55,700 | CRITICAL | 0036 | THE DAEMON RUN INITIAED
2020-03-02 08:26:55,732 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:27:05,231 | CRITICAL | 0036 | THE DAEMON RUN INITIAED
2020-03-02 08:27:05,263 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:35:24,939 | CRITICAL | 0036 | THE DAEMON RUN INITIAED
2020-03-02 08:35:24,964 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:36:45,159 | CRITICAL | 0036 | THE DAEMON RUN INITIAED
2020-03-02 08:36:45,185 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:46:47,099 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:48:35,733 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:49:01,077 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:49:01,100 | CRITICAL | 0066 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:49:59,915 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:49:59,935 | CRITICAL | 0066 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:50:22,460 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:50:22,482 | CRITICAL | 0067 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:51:16,505 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:51:16,529 | CRITICAL | 0068 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:55:19,956 | CRITICAL | 0035 | THE DAEMON RUN INITIAED
2020-03-02 08:55:20,281 | CRITICAL | 0068 | DAEMON RUN COMPLETED SUCCESSFULLY
2020-03-02 08:56:41,044 | CRITICAL | 0032 | THE DAEMON RUN INITIAED
2020-03-02 08:56:41,420 | CRITICAL | 0063 | DAEMON RUN COMPLETED SUCCESSFULLY
